method,scenario,simulation,speed,runs,mean_error,std_error,mean_search_time,std_search_time
PMFS,House19,"4,5-1_slow",slow,5,0.627193,0.057953,123.387300,6.995785
PMFS,House20,"2-1,4_fast",fast,5,0.589417,0.030604,103.978646,6.394097
PMFS,House20,"2-1,4_slow",slow,5,0.540875,0.034092,104.932777,7.198430
PMFS,House20,4-1_fast,fast,5,0.523354,0.032015,101.947128,8.743171
PMFS,House20,4-1_slow,slow,5,0.788359,0.111136,144.046085,2.484425
PMFS,House21,"1,2,5-9,10_fast",fast,5,0.568196,0.024745,90.795087,5.176337
PMFS,House21,"1,2,5-9,10_slow",slow,5,0.728687,0.054127,120.454446,6.721879
PMFS,House21,"6,8-1,2_fast",fast,5,0.734028,0.078182,101.577542,8.442042
PMFS,House21,"6,8-1,2_slow",slow,5,0.637545,0.059452,102.157001,5.107834
PMFS,House22,2-5_fast,fast,5,0.741767,0.105756,90.257897,4.921459
PMFS,House22,2-5_slow,slow,5,0.956780,0.101215,96.350451,6.018150
PMFS,House22,6-1_fast,fast,5,0.911785,0.174091,85.654865,2.624699
PMFS,House22,6-1_slow,slow,5,1.074618,0.204307,105.470287,7.053501
PMFS,House23,"13,14-5,6,10_fast",fast,5,1.189322,0.260788,85.334221,3.194000
PMFS,House23,"13,14-5,6,10_slow",slow,5,1.868622,0.100810,96.770284,6.419148
PMFS,House23,"15-6,10_fast",fast,5,0.955219,0.162900,77.807224,1.388634
PMFS,House23,"15-6,10_slow",slow,5,1.218804,0.253824,88.065981,2.429554
PMFS,House24,"2,4-1_fast",fast,5,1.187717,0.284729,81.062516,1.914523
PMFS,House24,"2,4-1_slow",slow,5,2.247601,0.214797,97.854258,7.609417
PMFS,House24,2-1_fast,fast,5,0.995852,0.217644,77.002912,0.534073
PMFS,House24,2-1_slow,slow,5,0.839965,0.119842,79.942105,2.248628
PMFS,House25,"2,7-3_fast",fast,5,1.035628,0.167718,79.811209,1.876089
PMFS,House25,"2,7-3_slow",slow,5,1.016059,0.219151,85.535981,2.514768
PMFS,House25,"3,4-1,7_fast",fast,5,0.979747,0.202613,80.282872,1.403739
PMFS,House25,"3,4-1,7_slow",slow,5,1.493044,0.187522,87.055592,4.292240
PMFS,House26,"4,5-1,3_fast",fast,5,0.892171,0.176860,88.559419,1.753700
PMFS,House26,"4,5-1,3_slow",slow,5,0.947354,0.171158,88.487074,4.599593
PMFS,House26,"5,6-3_fast",fast,5,0.813982,0.154104,82.678483,1.810011
PMFS,House26,"5,6-3_slow",slow,5,1.176385,0.191206,111.370996,9.427345
PMFS,House27,"3,4-9_fast",fast,5,0.613783,0.022175,83.236778,2.512755
PMFS,House27,"3,4-9_slow",slow,5,0.852827,0.196261,117.601105,6.843792
PMFS,House27,"7,8,9-1,2,3,4_fast",fast,5,0.941149,0.160674,101.514689,5.122649
PMFS,House27,"7,8,9-1,2,3,4_slow",slow,5,1.135038,0.264067,108.675929,9.970187
